,number,linkall,titleall,keywall
36,[37],https://arxiv.org//abs/2104.00567,"
Title: Text to Image Generation with Semantic-Spatial Aware GAN
",Computer Vision and Pattern Recognition (cs.CV)
37,[38],https://arxiv.org//abs/2104.00566,"
Title: Exploring the relationship between performance metrics and cost saving  potential of defect prediction models
",Software Engineering (cs.SE)
38,[39],https://arxiv.org//abs/2104.00564,"
Title: Domain-Adversarial Training of Self-Attention Based Networks for Land  Cover Classification using Multi-temporal Sentinel-2 Satellite Imagery
",Computer Vision and Pattern Recognition (cs.CV)
39,[40],https://arxiv.org//abs/2104.00563,"
Title: Latent Variable Nested Set Transformers & AutoBots
",Robotics (cs.RO)
40,[41],https://arxiv.org//abs/2104.00562,"
Title: A Front-End for Dense Monocular SLAM using a Learned Outlier Mask Prior
",Computer Vision and Pattern Recognition (cs.CV)
41,[42],https://arxiv.org//abs/2104.00558,"
Title: Mining Wikidata for Name Resources for African Languages
",Computation and Language (cs.CL)
42,[43],https://arxiv.org//abs/2104.00556,"
Title: Deep Two-View Structure-from-Motion Revisited
",Computer Vision and Pattern Recognition (cs.CV)
43,[44],https://arxiv.org//abs/2104.00552,"
Title: Using Graph Theory to Derive Inequalities for the Bell Numbers
",Discrete Mathematics (cs.DM)
44,[45],https://arxiv.org//abs/2104.00547,"
Title: Blockchain and BIM (Building Information Modeling): Progress in Academia  and Industry
",Cryptography and Security (cs.CR)
45,[46],https://arxiv.org//abs/2104.00543,"
Title: RLAD: Time Series Anomaly Detection through Reinforcement Learning and  Active Learning
",Machine Learning (cs.LG)
46,[47],https://arxiv.org//abs/2104.00541,"
Title: Deep Reinforcement Learning for Resource Allocation in Business  Processes
",Machine Learning (cs.LG)
47,[48],https://arxiv.org//abs/2104.00540,"
Title: Reinforcement Learning Beyond Expectation
",Machine Learning (cs.LG)
48,[49],https://arxiv.org//abs/2104.00538,"
Title: Prediction of Wind Speed Using Artificial Neural Networks and ANFIS  Methods (Observation Buoy Example)
",Machine Learning (cs.LG)
49,[50],https://arxiv.org//abs/2104.00530,"
Title: Gaussian Process Convolutional Dictionary Learning
",Machine Learning (cs.LG)
50,[51],https://arxiv.org//abs/2104.00528,"
Title: OutlierNets: Highly Compact Deep Autoencoder Network Architectures for  On-Device Acoustic Anomaly Detection
",Sound (cs.SD)
51,[52],https://arxiv.org//abs/2104.00527,"
Title: Deep Reinforcement Learning for Constrained Field Development  Optimization in Subsurface Two-phase Flow
",Machine Learning (cs.LG)
52,[53],https://arxiv.org//abs/2104.00526,"
Title: Fitting Elephants
",Machine Learning (cs.LG)
53,[54],https://arxiv.org//abs/2104.00525,"
Title: Dynamic imaging and characterization of volatile aerosols in e-cigarette  emissions using deep learning-based holographic microscopy
",Machine Learning (cs.LG)
54,[55],https://arxiv.org//abs/2104.00514,"
Title: Spectral Unions of Partial Deformable 3D Shapes
",Graphics (cs.GR)
55,[56],https://arxiv.org//abs/2104.00513,"
Title: Auto-KWS 2021 Challenge: Task, Datasets, and Baselines
",Sound (cs.SD)
56,[57],https://arxiv.org//abs/2104.00512,"
Title: On the Optimality of the Oja's Algorithm for Online PCA
",Machine Learning (cs.LG)
57,[58],https://arxiv.org//abs/2104.00508,"
Title: Integrated optimization of heterogeneous-network management and the  elusive role of macrocells
",Networking and Internet Architecture (cs.NI)
58,[59],https://arxiv.org//abs/2104.00504,"
Title: Hetero-functional Network Minimum Cost Flow Optimization: A  Hydrogen-Natural Gas Network Example
",Systems and Control (eess.SY)
59,[60],https://arxiv.org//abs/2104.00501,"
Title: Replicate or Relocate? Non-Uniform Access in Parameter Servers
",Databases (cs.DB)
60,[61],https://arxiv.org//abs/2104.00492,"
Title: A Joint Network for Grasp Detection Conditioned on Natural Language  Commands
",Computer Vision and Pattern Recognition (cs.CV)
61,[62],https://arxiv.org//abs/2104.00489,"
Title: PyVertical: A Vertical Federated Learning Framework for Multi-headed  SplitNN
",Machine Learning (cs.LG)
62,[63],https://arxiv.org//abs/2104.00488,"
Title: Bayesian Graph Convolutional Network for Traffic Prediction
",Machine Learning (cs.LG)
63,[64],https://arxiv.org//abs/2104.00487,"
Title: Linear Semantics in Generative Adversarial Networks
",Computer Vision and Pattern Recognition (cs.CV)
64,[65],https://arxiv.org//abs/2104.00486,"
Title: Energy-aware Task Scheduling with Deadline Constraint in DVFS-enabled  Heterogeneous Clusters
","Distributed, Parallel, and Cluster Computing (cs.DC)"
65,[66],https://arxiv.org//abs/2104.00484,"
Title: Neural Video Portrait Relighting in Real-time via Consistency Modeling
",Computer Vision and Pattern Recognition (cs.CV)
66,[67],https://arxiv.org//abs/2104.00483,"
Title: Unsupervised Foreground-Background Segmentation with Equivariant Layered  GANs
",Computer Vision and Pattern Recognition (cs.CV)
67,[68],https://arxiv.org//abs/2104.00482,"
Title: Sketch2Mesh: Reconstructing and Editing 3D Shapes from Sketches
",Computer Vision and Pattern Recognition (cs.CV)
68,[69],https://arxiv.org//abs/2104.00480,"
Title: Idris 2: Quantitative Type Theory in Practice
",Programming Languages (cs.PL)
69,[70],https://arxiv.org//abs/2104.00479,"
Title: Towards creativity characterization of generative models via group-based  subset scanning
",Machine Learning (cs.LG)
70,[71],https://arxiv.org//abs/2104.00476,"
Title: Fostering Generalization in Single-view 3D Reconstruction by Learning a  Hierarchy of Local and Global Shape Priors
",Computer Vision and Pattern Recognition (cs.CV)
71,[72],https://arxiv.org//abs/2104.00475,"
Title: Edge-Assisted Congestion Control Mechanism for 5G Network Using  Software-Defined Networking
",Networking and Internet Architecture (cs.NI)
72,[73],https://arxiv.org//abs/2104.00466,"
Title: Improving Calibration for Long-Tailed Recognition
",Computer Vision and Pattern Recognition (cs.CV)
73,[74],https://arxiv.org//abs/2104.00465,"
Title: Pareto optimal exchange with indifferent endowments
",Discrete Mathematics (cs.DM)
74,[75],https://arxiv.org//abs/2104.00464,"
Title: Improved Image Generation via Sparse Modeling
",Computer Vision and Pattern Recognition (cs.CV)
75,[76],https://arxiv.org//abs/2104.00462,"
Title: SCALoss: Side and Corner Aligned Loss for Bounding Box Regression
",Computer Vision and Pattern Recognition (cs.CV)
76,[77],https://arxiv.org//abs/2104.00461,"
Title: Solver-Aided Constant-Time Circuit Verification
",Cryptography and Security (cs.CR)
77,[78],https://arxiv.org//abs/2104.00460,"
Title: Augmenting Zero Trust Architecture to Endpoints Using Blockchain: A  Systematic Review
",Cryptography and Security (cs.CR)
78,[79],https://arxiv.org//abs/2104.00453,"
Title: Learning Rates for Multi-task Regularization Networks
",Machine Learning (cs.LG)
79,[80],https://arxiv.org//abs/2104.00452,"
Title: Semantic XAI for contextualized demand forecasting explanations
",Artificial Intelligence (cs.AI)
80,[81],https://arxiv.org//abs/2104.00447,"
Title: Towards Evaluating and Training Verifiably Robust Neural Networks
",Computer Vision and Pattern Recognition (cs.CV)
81,[82],https://arxiv.org//abs/2104.00442,"
Title: Touch-based Curiosity for Sparse-Reward Tasks
",Machine Learning (cs.LG)
82,[83],https://arxiv.org//abs/2104.00437,"
Title: Enriched Music Representations with Multiple Cross-modal Contrastive  Learning
",Sound (cs.SD)
83,[84],https://arxiv.org//abs/2104.00432,"
Title: Anchor Pruning for Object Detection
",Computer Vision and Pattern Recognition (cs.CV)
84,[85],https://arxiv.org//abs/2104.00431,"
Title: Unsupervised Learning of Monocular Depth and Ego-Motion Using Multiple  Masks
",Computer Vision and Pattern Recognition (cs.CV)
85,[86],https://arxiv.org//abs/2104.00430,"
Title: Latent Space Data Assimilation by using Deep Learning
",Machine Learning (cs.LG)
86,[87],https://arxiv.org//abs/2104.00426,"
Title: WakaVT: A Sequential Variational Transformer for Waka Generation
",Computation and Language (cs.CL)
87,[88],https://arxiv.org//abs/2104.00424,"
Title: High-dimensional distributed semantic spaces for utterances
",Computation and Language (cs.CL)
88,[89],https://arxiv.org//abs/2104.00416,"
Title: Unsupervised Degradation Representation Learning for Blind  Super-Resolution
",Computer Vision and Pattern Recognition (cs.CV)
89,[90],https://arxiv.org//abs/2104.00415,"
Title: Learning with Neural Tangent Kernels in Near Input Sparsity Time
",Machine Learning (cs.LG)
90,[91],https://arxiv.org//abs/2104.00409,"
Title: quantum Case-Based Reasoning (qCBR)
",Artificial Intelligence (cs.AI)
91,[92],https://arxiv.org//abs/2104.00406,"
Title: The complete classification for quantified equality constraints
",Computational Complexity (cs.CC)
92,[93],https://arxiv.org//abs/2104.00405,"
Title: Avalanche: an End-to-End Library for Continual Learning
",Machine Learning (cs.LG)
93,[94],https://arxiv.org//abs/2104.00403,"
Title: Target Transformed Regression for Accurate Tracking
",Computer Vision and Pattern Recognition (cs.CV)
94,[95],https://arxiv.org//abs/2104.00399,"
Title: Distributed support-vector-machine over dynamic balanced directed  networks
",Systems and Control (eess.SY)
95,[96],https://arxiv.org//abs/2104.00398,"
Title: Structure-preserving finite difference schemes for nonlinear wave  equations with dynamic boundary conditions
",Numerical Analysis (math.NA)
96,[97],https://arxiv.org//abs/2104.00396,"
Title: Mixed precision recursive block diagonalization for bivariate functions  of matrices
",Numerical Analysis (math.NA)
97,[98],https://arxiv.org//abs/2104.00394,"
Title: Delay-Tolerant Consensus-based Distributed Estimation: Full-Rank Systems  with Potentially Unstable Dynamics
",Systems and Control (eess.SY)
98,[99],https://arxiv.org//abs/2104.00390,"
Title: Facing the Giant: a Grounded Theory Study of Decision-Making in  Microservices Migrations
",Software Engineering (cs.SE)
99,[100],https://arxiv.org//abs/2104.00387,"
Title: Commonsense Spatial Reasoning for Visually Intelligent Agents
",Artificial Intelligence (cs.AI)
100,[101],https://arxiv.org//abs/2104.00385,"
Title: Optimization Algorithm for Feedback and Feedforward Policies towards  Robot Control Robust to Sensing Failures
",Machine Learning (cs.LG)
101,[102],https://arxiv.org//abs/2104.00382,"
Title: Sample-efficient Gear-ratio Optimization for Biomechanical Energy  Harvester
",Robotics (cs.RO)
102,[103],https://arxiv.org//abs/2104.00380,"
Title: Online Multiple Object Tracking with Cross-Task Synergy
",Computer Vision and Pattern Recognition (cs.CV)
103,[104],https://arxiv.org//abs/2104.00379,"
Title: Immutability and Design Patterns in Ruby
",Programming Languages (cs.PL)
104,[105],https://arxiv.org//abs/2104.00378,"
Title: The Comprehensive Blub Archive Network: Towards Design Principals for  Open Source Programming Language Repositories
",Programming Languages (cs.PL)
105,[106],https://arxiv.org//abs/2104.00369,"
Title: FeTaQA: Free-form Table Question Answering
",Computation and Language (cs.CL)
106,[107],https://arxiv.org//abs/2104.00366,"
Title: Low-Resource Neural Machine Translation for South-Eastern African  Languages
",Computation and Language (cs.CL)
107,[108],https://arxiv.org//abs/2104.00365,"
Title: Federated Few-Shot Learning with Adversarial Learning
",Machine Learning (cs.LG)
108,[109],https://arxiv.org//abs/2104.00362,"
Title: Evaluating Predictive Business Process Monitoring Approaches on Small  Event Logs
",Artificial Intelligence (cs.AI)
109,[110],https://arxiv.org//abs/2104.00359,"
Title: Efficient and Differentiable Shadow Computation for Inverse Problems
",Computer Vision and Pattern Recognition (cs.CV)
110,[111],https://arxiv.org//abs/2104.00358,"
Title: Nine Potential Pitfalls when Designing Human-AI Co-Creative Systems
",Human-Computer Interaction (cs.HC)
111,[112],https://arxiv.org//abs/2104.00357,"
Title: Bounding the Inefficiency of Route Control in Intelligent Transport  Systems
",Multiagent Systems (cs.MA)
112,[113],https://arxiv.org//abs/2104.00356,"
Title: Exploiting Relationship for Complex-scene Image Generation
",Computer Vision and Pattern Recognition (cs.CV)
113,[114],https://arxiv.org//abs/2104.00355,"
Title: Speech Resynthesis from Discrete Disentangled Self-Supervised  Representations
",Sound (cs.SD)
114,[115],https://arxiv.org//abs/2104.00352,"
Title: Decentralized and Model-Free Federated Learning: Consensus-Based  Distillation in Function Space
",Networking and Internet Architecture (cs.NI)
115,[116],https://arxiv.org//abs/2104.00351,"
Title: TrajeVAE -- Controllable Human Motion Generation from Trajectories
",Computer Vision and Pattern Recognition (cs.CV)
116,[117],https://arxiv.org//abs/2104.00347,"
Title: Channel Measurement and Path-Loss Characterization for Low-Terahertz  Indoor Scenarios
",Information Theory (cs.IT)
117,[118],https://arxiv.org//abs/2104.00342,"
Title: Intuitive Tasks Planning Using Visuo-Tactile Perception for Human Robot  Cooperation
",Systems and Control (eess.SY)
118,[119],https://arxiv.org//abs/2104.00340,"
Title: Reconstructing 3D Human Pose by Watching Humans in the Mirror
",Computer Vision and Pattern Recognition (cs.CV)
119,[120],https://arxiv.org//abs/2104.00337,"
Title: Wide-Depth-Range 6D Object Pose Estimation in Space
",Computer Vision and Pattern Recognition (cs.CV)
120,[121],https://arxiv.org//abs/2104.00336,"
Title: Mitigating Media Bias through Neutral Article Generation
",Computation and Language (cs.CL)
121,[122],https://arxiv.org//abs/2104.00332,"
Title: UC2: Universal Cross-lingual Cross-modal Vision-and-Language  Pre-training
",Computer Vision and Pattern Recognition (cs.CV)
122,[123],https://arxiv.org//abs/2104.00331,"
Title: On the Convergence Time of Federated Learning Over Wireless Networks  Under Imperfect CSI
",Machine Learning (cs.LG)
123,[124],https://arxiv.org//abs/2104.00327,"
Title: Famous Companies Use More Letters in Logo:A Large-Scale Analysis of Text  Area in Logo
",Computer Vision and Pattern Recognition (cs.CV)
124,[125],https://arxiv.org//abs/2104.00324,"
Title: STMTrack: Template-free Visual Tracking with Space-time Memory Networks
",Computer Vision and Pattern Recognition (cs.CV)
125,[126],https://arxiv.org//abs/2104.00323,"
Title: Jigsaw Clustering for Unsupervised Visual Representation Learning
",Computer Vision and Pattern Recognition (cs.CV)
126,[127],https://arxiv.org//abs/2104.00322,"
Title: Domain Invariant Adversarial Learning
",Machine Learning (cs.LG)
127,[128],https://arxiv.org//abs/2104.00319,"
Title: Semi-Supervised Domain Adaptation via Selective Pseudo Labeling and  Progressive Self-Training
",Computer Vision and Pattern Recognition (cs.CV)
128,[129],https://arxiv.org//abs/2104.00317,"
Title: Explore Image Deblurring via Blur Kernel Space
",Computer Vision and Pattern Recognition (cs.CV)
129,[130],https://arxiv.org//abs/2104.00316,"
Title: Training Medical Communication Skills with Virtual Patients: Literature  Review and Directions for Future Research
",Human-Computer Interaction (cs.HC)
130,[131],https://arxiv.org//abs/2104.00315,"
Title: Unsupervised Sound Localization via Iterative Contrastive Learning
",Computer Vision and Pattern Recognition (cs.CV)
131,[132],https://arxiv.org//abs/2104.00312,"
Title: Normal vs. Adversarial: Salience-based Analysis of Adversarial Samples  for Relation Extraction
",Computation and Language (cs.CL)
132,[133],https://arxiv.org//abs/2104.00308,"
Title: Bipartite Graph Network with Adaptive Message Passing for Unbiased Scene  Graph Generation
",Computer Vision and Pattern Recognition (cs.CV)
133,[134],https://arxiv.org//abs/2104.00305,"
Title: Modeling High-order Interactions across Multi-interests for Micro-video  Reommendation
",Computer Vision and Pattern Recognition (cs.CV)
134,[135],https://arxiv.org//abs/2104.00304,"
Title: Log-domain decoding of quantum LDPC codes over binary finite fields
",Information Theory (cs.IT)
135,[136],https://arxiv.org//abs/2104.00303,"
Title: MeanShift++: Extremely Fast Mode-Seeking With Applications to  Segmentation and Object Tracking
",Computer Vision and Pattern Recognition (cs.CV)
136,[137],https://arxiv.org//abs/2104.00302,"
Title: Cooperative UWB-Based Localization for Outdoors Positioning and  Navigation of UAVs aided by Ground Robots
",Robotics (cs.RO)
137,[138],https://arxiv.org//abs/2104.00299,"
Title: Students are the Best Teacher: Exit-Ensemble Distillation with  Multi-Exits
",Computer Vision and Pattern Recognition (cs.CV)
138,[139],https://arxiv.org//abs/2104.00298,"
Title: EfficientNetV2: Smaller Models and Faster Training
",Computer Vision and Pattern Recognition (cs.CV)
139,[140],https://arxiv.org//abs/2104.00297,"
Title: Arbitrary-Shaped Text Detection withAdaptive Text Region Representation
",Computer Vision and Pattern Recognition (cs.CV)
140,[141],https://arxiv.org//abs/2104.00296,"
Title: Securing Smart Homes via Software-Defined Networking and Low-Cost  Traffic Classification
",Cryptography and Security (cs.CR)
141,[142],https://arxiv.org//abs/2104.00292,"
Title: Hereditary rigidity, separation and density In memory of Professor I.G.  Rosenberg
",Discrete Mathematics (cs.DM)
142,[143],https://arxiv.org//abs/2104.00290,"
Title: Many-to-English Machine Translation Tools, Data, and Pretrained Models
",Computation and Language (cs.CL)
143,[144],https://arxiv.org//abs/2104.00287,"
Title: Learning to Track Instances without Video Annotations
",Computer Vision and Pattern Recognition (cs.CV)
144,[145],https://arxiv.org//abs/2104.00285,"
Title: CUPID: Adaptive Curation of Pre-training Data for Video-and-Language  Representation Learning
",Computer Vision and Pattern Recognition (cs.CV)
145,[146],https://arxiv.org//abs/2104.00284,"
Title: The best laid plans or lack thereof: Security decision-making of  different stakeholder groups
",Cryptography and Security (cs.CR)
146,[147],https://arxiv.org//abs/2104.00280,"
Title: An abstract theory of domain decomposition methods with coarse spaces of  the GenEO family
",Numerical Analysis (math.NA)
147,[148],https://arxiv.org//abs/2104.00279,"
Title: Efficient Set-Based Approaches for the Reliable Computation of Robot  Capabilities
",Robotics (cs.RO)
148,[149],https://arxiv.org//abs/2104.00277,"
Title: A proof of convergence for stochastic gradient descent in the training  of artificial neural networks with ReLU activation for constant target  functions
",Numerical Analysis (math.NA)
149,[150],https://arxiv.org//abs/2104.00273,"
Title: Perspective, Survey and Trends: Public Driving Datasets and Toolsets for  Autonomous Driving Virtual Test
",Robotics (cs.RO)
150,[151],https://arxiv.org//abs/2104.00272,"
Title: Mesh Graphormer
",Computer Vision and Pattern Recognition (cs.CV)
151,[152],https://arxiv.org//abs/2104.00270,"
Title: Evaluating Neural Word Embeddings for Sanskrit
",Computation and Language (cs.CL)
152,[153],https://arxiv.org//abs/2104.00269,"
Title: The Compact Support Neural Network
",Machine Learning (cs.LG)
153,[154],https://arxiv.org//abs/2104.00267,"
Title: Detecting over/under-translation errors for determining adequacy in  human translations
",Computation and Language (cs.CL)
154,[155],https://arxiv.org//abs/2104.00258,"
Title: Pinpointing the Memory Behaviors of DNN Training
",Performance (cs.PF)
155,[156],https://arxiv.org//abs/2104.00257,"
Title: On Generalizing Trace Minimization
",Numerical Analysis (math.NA)
156,[157],https://arxiv.org//abs/2104.00255,"
Title: Strategic Hub-Based Platoon Coordination under Uncertain Travel Times
",Systems and Control (eess.SY)
157,[158],https://arxiv.org//abs/2104.00254,"
Title: Using Python for Model Inference in Deep Learning
",Machine Learning (cs.LG)
158,[159],https://arxiv.org//abs/2104.00250,"
Title: Retrofitting Effect Handlers onto OCaml
",Programming Languages (cs.PL)
159,[160],https://arxiv.org//abs/2104.00249,"
Title: LaPred: Lane-Aware Prediction of Multi-Modal Future Trajectories of  Dynamic Agents
",Computer Vision and Pattern Recognition (cs.CV)
160,[161],https://arxiv.org//abs/2104.00246,"
Title: Divergence Optimization for Noisy Universal Domain Adaptation
",Computer Vision and Pattern Recognition (cs.CV)
161,[162],https://arxiv.org//abs/2104.00241,"
Title: Variational Inference MPC using Tsallis Divergence
",Machine Learning (cs.LG)
162,[163],https://arxiv.org//abs/2104.00240,"
Title: Self-supervised Motion Learning from Static Images
",Computer Vision and Pattern Recognition (cs.CV)
163,[164],https://arxiv.org//abs/2104.00239,"
Title: Positive Sample Propagation along the Audio-Visual Event Line
",Computer Vision and Pattern Recognition (cs.CV)
164,[165],https://arxiv.org//abs/2104.00237,"
Title: Optimizer Fusion: Efficient Training with Better Locality and  Parallelism
",Machine Learning (cs.LG)
165,[166],https://arxiv.org//abs/2104.00236,"
Title: Too Expensive to Attack: A Joint Defense Framework to Mitigate  Distributed Attacks for the Internet of Things Grid
",Cryptography and Security (cs.CR)
166,[167],https://arxiv.org//abs/2104.00235,"
Title: Multilingual and code-switching ASR challenges for low resource Indian  languages
",Computation and Language (cs.CL)
167,[168],https://arxiv.org//abs/2104.00234,"
Title: A Survey on Natural Language Video Localization
",Computer Vision and Pattern Recognition (cs.CV)
168,[169],https://arxiv.org//abs/2104.00233,"
Title: Unsupervised Domain Expansion for Visual Categorization
",Computer Vision and Pattern Recognition (cs.CV)
169,[170],https://arxiv.org//abs/2104.00232,"
Title: Dive into Ambiguity: Latent Distribution Mining and Pairwise Uncertainty  Estimation for Facial Expression Recognition
",Computer Vision and Pattern Recognition (cs.CV)
170,[171],https://arxiv.org//abs/2104.00231,"
Title: Two-phase weakly supervised object detection with pseudo ground truth  mining
",Computer Vision and Pattern Recognition (cs.CV)
171,[172],https://arxiv.org//abs/2104.00229,"
Title: Stability and error analysis of IMEX SAV schemes for the  magneto-hydrodynamic equations
",Numerical Analysis (math.NA)
172,[173],https://arxiv.org//abs/2104.00226,"
Title: DF^2AM: Dual-level Feature Fusion and Affinity Modeling for RGB-Infrared  Cross-modality Person Re-identification
",Computer Vision and Pattern Recognition (cs.CV)
173,[174],https://arxiv.org//abs/2104.00222,"
Title: Embedded Self-Distillation in Compact Multi-Branch Ensemble Network for  Remote Sensing Scene Classification
",Computer Vision and Pattern Recognition (cs.CV)
174,[175],https://arxiv.org//abs/2104.00220,"
Title: Rate-Splitting Multiple Access for Multi-Antenna Broadcast Channels with  Statistical CSIT
",Information Theory (cs.IT)
175,[176],https://arxiv.org//abs/2104.00219,"
Title: Fast Jacobian-Vector Product for Deep Networks
",Machine Learning (cs.LG)
176,[177],https://arxiv.org//abs/2104.00218,"
Title: Integrating Subgraph-aware Relation and DirectionReasoning for Question  Answering
",Computation and Language (cs.CL)
177,[178],https://arxiv.org//abs/2104.00213,"
Title: Intrusive and non-intrusive reduced order modelling of the rotating  thermal shallow water equation
",Numerical Analysis (math.NA)
178,[179],https://arxiv.org//abs/2104.00210,"
Title: Training Multi-bit Quantized and Binarized Networks with A Learnable  Symmetric Quantizer
",Computer Vision and Pattern Recognition (cs.CV)
179,[180],https://arxiv.org//abs/2104.00207,"
Title: The $k$-Colorable Unit Disk Cover Problem
",Computational Geometry (cs.CG)
180,[181],https://arxiv.org//abs/2104.00206,"
Title: Rate-Splitting Multiple Access for Multigroup Multicast Cellular and  Satellite Communications: PHY Layer Design and Link-Level Simulations
",Information Theory (cs.IT)
181,[182],https://arxiv.org//abs/2104.00205,"
Title: Fusing RGBD Tracking and Segmentation Tree Sampling for Multi-Hypothesis  Volumetric Segmentation
",Robotics (cs.RO)
